code,description,parent
NE
VAFIN
ADV
ART
ADJA
NN
VVFIN
APPR
PTKVZ
PPOSAT
VVPP
FM
ADJD
APPRART
KON
KOUS
VVINF
VMFIN
PROAV
PDAT
KOUI
PTKZU
PIAT
PTKNEG
PIS
PRF
CARD
PPER
ITJ
PDS
KOKOM
PRELS
APPO
PWAT
PWAV
VVIZU
PWS
XY
PRELAT
TRUNC
VAINF
VMINF
VAPP
PTKA
PTKANT

APZR
PPOSS
VVIMP
VAIMP
VMPP
NNE
