code,description,parent
NN
++
AV
EN
AJ
IK
PO
VV
PR
IP
TP
AB
RO
ID
PN
IC
MN
UK
VN
QV
WV
IQ
SV
HV
IR
IG
AN
MV
IM
BV
KV
GV
FV
PU
SP
XX
I?
IS
IT
IU
YY
