key,verb
backbite,1
backcross,1
backdate,1
backfire,1
background,1
backhand,1
backlash,1
backlog,1
backpack,1
backpedal,1
backscatter,1
backslap,1
backslide,1
backspace,1
backstitch,1
backstop,1
backstroke,1
backtrack,1
bacterise,1
bacterize,1
badge,1
badger,1
badmouth,1
baffle,1
bag,1
bail,1
bail out,1
bait,1
bake,1
balance,1
bald,1
bale,1
bale out,1
balk,1
balkanise,1
balkanize,1
ball,1
ball over,1
ball up,1
ballast,1
balloon,1
ballot,1
ballyhoo,1
ballyrag,1
bamboozle,1
ban,1
band,1
band oneself,1
band together,1
bandage,1
bandy,1
bandy about,1
bang,1
bang out,1
bang up,1
banish,1
bank,1
bankroll,1
bankrupt,1
banquet,1
banter,1
baptise,1
baptize,1
bar,1
bar hop,1
bar mitzvah,1
barb,1
barbarise,1
barbarize,1
barbecue,1
barbeque,1
barber,1
bard,1
barde,1
bare,1
barf,1
bargain,1
bargain down,1
barge,1
barge in,1
bark,1
barnstorm,1
baronetise,1
baronetize,1
barrack,1
barrage,1
barrage jam,1
barrel,1
barricade,1
barricado,1
barter,1
barter away,1
base,1
bash,1
basify,1
bask,1
basset,1
bastardise,1
bastardize,1
baste,1
bastinado,1
bat,1
bat mitzvah,1
batch,1
bate,1
batfowl,1
bath,1
bathe,1
batik,1
batten,1
batten down,1
batter,1
battle,1
baulk,1
bawl,1
bawl out,1
bay,1
bayonet,1
be,1
be active,1
be adrift,1
be after,1
be amiss,1
be at pains,1
be born,1
be due,1
be full,1
be given,1
be intimate,1
be on,1
be on cloud nine,1
be on the ball,1
be quiet,1
be sick,1
be well,1
be with it,1
beach,1
beacon,1
bead,1
beak,1
beam,1
bean,1
bear,1
bear away,1
bear down,1
bear down on,1
bear down upon,1
bear in mind,1
bear off,1
bear on,1
bear out,1
bear up,1
bear upon,1
bear witness,1
beard,1
beat,1
beat a retreat,1
beat about,1
beat around the bush,1
beat back,1
beat down,1
beat in,1
beat out,1
beat up,1
beatify,1
beautify,1
beaver,1
beaver away,1
bebop,1
becalm,1
bechance,1
becharm,1
beckon,1
becloud,1
become,1
become flat,1
bed,1
bed-hop,1
bed down,1
bedamn,1
bedaub,1
bedaze,1
bedazzle,1
bedeck,1
bedevil,1
bedew,1
bedhop,1
bedight,1
bedim,1
bedizen,1
bedraggle,1
beef,1
beef up,1
beep,1
beeswax,1
beetle,1
beetle off,1
befall,1
befit,1
befog,1
befool,1
befoul,1
befriend,1
befuddle,1
beg,1
beg off,1
beget,1
beggar,1
begild,1
begin,1
begrime,1
begrudge,1
beguile,1
behave,1
behead,1
behold,1
behoove,1
behove,1
bejewel,1
belabor,1
belabour,1
belay,1
belch,1
beleaguer,1
belie,1
believe,1
believe in,1
belittle,1
bell,1
bell the cat,1
bellow,1
belly,1
belly-flop,1
belly-land,1
belly dance,1
belly out,1
bellyache,1
bellylaugh,1
belong,1
belong to,1
belt,1
belt along,1
belt down,1
belt out,1
belt up,1
bemire,1
bemoan,1
bemock,1
bemuse,1
bench,1
bend,1
bend over backwards,1
benday,1
benefact,1
benefice,1
beneficiate,1
benefit,1
benficiate,1
benight,1
benumb,1
beplaster,1
bequeath,1
berate,1
bereave,1
berry,1
berth,1
beseech,1
beseem,1
beset,1
beshrew,1
besiege,1
besmear,1
besmirch,1
besot,1
bespangle,1
bespatter,1
bespeak,1
bespeckle,1
bespot,1
besprinkle,1
best,1
bestialise,1
bestialize,1
bestir,1
bestir oneself,1
bestow,1
bestrew,1
bestride,1
bet,1
bet on,1
betake oneself,1
bethink,1
betide,1
betoken,1
betray,1
betroth,1
better,1
bevel,1
bewail,1
beware,1
bewhisker,1
bewilder,1
bewitch,1
bewray,1
bias,1
bib,1
bicker,1
bicycle,1
bid,1
bide,1
biff,1
bifurcate,1
bight,1
bike,1
bilge,1
bilk,1
bill,1
billet,1
billow,1
bin,1
bind,1
bind off,1
bind over,1
binge,1
bioassay,1
biodegrade,1
birch,1
bird,1
bird-nest,1
birdie,1
birdlime,1
birdnest,1
birdwatch,1
birl,1
birle,1
birr,1
birth,1
bisect,1
bitch,1
bite,1
bite off,1
bite out,1
bitt,1
bitter,1
bituminise,1
bituminize,1
bivouac,1
blab,1
blab out,1
blabber,1
black,1
black market,1
black marketeer,1
black out,1
blackball,1
blackberry,1
blacken,1
blacken out,1
blackguard,1
blackjack,1
blacklead,1
blackleg,1
blacklist,1
blackmail,1
blacktop,1
blackwash,1
blame,1
blanch,1
blandish,1
blank,1
blank out,1
blanket,1
blanket jam,1
blare,1
blare out,1
blarney,1
blaspheme,1
blast,1
blast off,1
blat,1
blat out,1
blate,1
blather,1
blaze,1
blaze away,1
blaze out,1
blaze up,1
blazon,1
blazon out,1
bleach,1
bleach out,1
blear,1
bleat,1
bleed,1
bleep,1
blemish,1
blench,1
blend,1
blend in,1
bless,1
blether,1
blight,1
blind,1
blindfold,1
blindside,1
blink,1
blink away,1
blinker,1
blister,1
blither,1
blitz,1
blitzkrieg,1
bloat,1
blob,1
block,1
block off,1
block out,1
block up,1
blockade,1
blog,1
blood,1
bloody,1
bloom,1
blossom,1
blossom forth,1
blossom out,1
blot,1
blot out,1
blotch,1
bloviate,1
blow,1
blow-dry,1
blow a fuse,1
blow off,1
blow one's stack,1
blow out,1
blow out of the water,1
blow over,1
blow up,1
blub,1
blubber,1
blubber out,1
bludgeon,1
blue,1
blue-pencil,1
blueprint,1
bluff,1
bluff out,1
blunder,1
blunder out,1
blunt,1
blur,1
blurt,1
blurt out,1
blush,1
bluster,1
board,1
board up,1
boast,1
boat,1
boat-race,1
bob,1
bob about,1
bob around,1
bob under,1
bob up,1
bobble,1
bobsled,1
bode,1
bodge,1
body,1
body-surf,1
body forth,1
body guard,1
bodypaint,1
bog,1
bog down,1
bogey,1
boggle,1
boil,1
boil down,1
boil over,1
boldface,1
bollix,1
bollix up,1
bollocks,1
bollocks up,1
bolshevise,1
bolshevize,1
bolster,1
bolster up,1
bolt,1
bolt down,1
bolt out,1
bomb,1
bomb out,1
bomb up,1
bombard,1
bombilate,1
bombinate,1
bombproof,1
bond,1
bonderise,1
bonderize,1
bone,1
bone up,1
bong,1
bonk,1
bonnet,1
boo,1
boob,1
boogie,1
book,1
book up,1
boom,1
boom out,1
boomerang,1
boondoggle,1
boost,1
boost up,1
boot,1
boot out,1
bootleg,1
bootlick,1
bootstrap,1
booze,1
bop,1
border,1
border on,1
bore,1
borrow,1
bosom,1
boss,1
boss around,1
botanise,1
botanize,1
botch,1
botch up,1
bother,1
bottle,1
bottle up,1
bottlefeed,1
bottleneck,1
bottom,1
bottom out,1
bounce,1
bounce back,1
bounce out,1
bound,1
bound off,1
bourgeon,1
bouse,1
bow,1
bow down,1
bow out,1
bowdlerise,1
bowdlerize,1
bower,1
bowl,1
bowl over,1
bowse,1
box,1
box in,1
box up,1
boycott,1
brabble,1
brace,1
brace oneself for,1
brace up,1
brachiate,1
bracket,1
bracket out,1
brad,1
brag,1
braid,1
brail,1
braille,1
brain,1
brainstorm,1
brainwash,1
braise,1
brake,1
branch,1
branch out,1
brand,1
brandish,1
brandmark,1
brattice,1
brattle,1
brave,1
brave out,1
bravo,1
brawl,1
bray,1
braze,1
brazen,1
breach,1
bread,1
break,1
break-dance,1
break apart,1
break away,1
break bread,1
break camp,1
break dance,1
break down,1
break even,1
break in,1
break into,1
break loose,1
break off,1
break one's back,1
break open,1
break out,1
break short,1
break someone's heart,1
break through,1
break up,1
break water,1
break wind,1
break with,1
breakfast,1
bream,1
breast,1
breastfeed,1
breaststroke,1
breathalyse,1
breathalyze,1
breathe,1
breathe in,1
breathe out,1
brecciate,1
breed,1
breeze,1
breeze through,1
brevet,1
brew,1
bribe,1
brick in,1
brick over,1
brick up,1
bridge,1
bridge over,1
bridle,1
bridle at,1
bridle up,1
brief,1
brigade,1
brighten,1
brim,1
brim over,1
brine,1
bring,1
bring about,1
bring around,1
bring back,1
bring down,1
bring forth,1
bring forward,1
bring home,1
bring home the bacon,1
bring in,1
bring off,1
bring on,1
bring oneself,1
bring out,1
bring outside,1
bring round,1
bring through,1
bring to,1
bring to bear,1
bring together,1
bring up,1
brisk,1
brisk up,1
brisken,1
bristle,1
bristle at,1
bristle up,1
broach,1
broadcast,1
broaden,1
broadside,1
brocade,1
broider,1
broil,1
broker,1
bromate,1
brominate,1
bronze,1
brooch,1
brood,1
brook,1
broom,1
browbeat,1
brown,1
brown-nose,1
browse,1
bruise,1
bruit,1
brunch,1
brush,1
brush aside,1
brush down,1
brush off,1
brush on,1
brush up,1
brutalise,1
brutalize,1
bubble,1
bubble over,1
bubble up,1
buccaneer,1
buck,1
buck up,1
bucket,1
bucket along,1
buckle,1
buckle down,1
buckle under,1
buckram,1
bud,1
budge,1
budget,1
budget for,1
buff,1
buffalo,1
buffer,1
buffet,1
bug,1
bug out,1
bugger,1
bugger off,1
bugle,1
build,1
build in,1
build on,1
build up,1
build upon,1
bulge,1
bulge out,1
bulk,1
bulk large,1
bull,1
bull through,1
bulldog,1
bulldoze,1
bullet vote,1
bulletin,1
bulletproof,1
bullshit,1
bully,1
bully off,1
bullyrag,1
bulwark,1
bum,1
bum about,1
bum around,1
bumble,1
bump,1
bump around,1
bump into,1
bump off,1
bump up,1
bunch,1
bunch together,1
bunch up,1
bunco,1
bundle,1
bundle off,1
bundle up,1
bung,1
bungle,1
bunk,1
bunk down,1
bunk off,1
bunker,1
bunt,1
buoy,1
buoy up,1
bur,1
burble,1
burden,1
burgeon,1
burgeon forth,1
burglarise,1
burglarize,1
burgle,1
burke,1
burl,1
burlesque,1
burn,1
burn down,1
burn off,1
burn out,1
burn up,1
burnish,1
burp,1
burr,1
burrow,1
burst,1
burst forth,1
burst in on,1
burst out,1
burst upon,1
burthen,1
bury,1
bus,1
bush,1
bush out,1
bushel,1
bushwhack,1
busk,1
buss,1
bust,1
bust up,1
bustle,1
bustle about,1
busy,1
butcher,1
butt,1
butt-weld,1
butt against,1
butt in,1
butt on,1
butter,1
butter up,1
butterfly,1
button,1
button up,1
buttonhole,1
buttress,1
buttweld,1
butylate,1
buy,1
buy at,1
buy back,1
buy food,1
buy in,1
buy into,1
buy it,1
buy off,1
buy out,1
buy the farm,1
buy time,1
buy up,1
buzz,1
buzz off,1
by-bid,1
bypass,1
ca-ca,1
cab,1
cabal,1
cabbage,1
cabin,1
cable,1
cache,1
cachinnate,1
cackel,1
cackle,1
caddie,1
caddy,1
cadge,1
cage,1
cage in,1
cajole,1
cake,1
cakewalk,1
calcify,1
calcimine,1
calcine,1
calculate,1
calendar,1
calender,1
calibrate,1
caliper,1
calk,1
call,1
call at,1
call attention,1
call back,1
call down,1
call for,1
call forth,1
call in,1
call into question,1
call it a day,1
call it quits,1
call off,1
call on,1
call on the carpet,1
call one's bluff,1
call out,1
call the shots,1
call the tune,1
call to order,1
call up,1
calligraph,1
calliper,1
callous,1
callus,1
calm,1
calm down,1
calumniate,1
calve,1
camber,1
camouflage,1
camp,1
camp down,1
camp out,1
campaign,1
camphorate,1
can,1
canal,1
canalise,1
canalize,1
cancel,1
cancel out,1
candle,1
candy,1
cane,1
canker,1
cannibalise,1
cannibalize,1
cannon,1
cannonade,1
cannonball along,1
cannulate,1
cannulise,1
cannulize,1
canoe,1
canonise,1
canonize,1
canoodle,1
canopy,1
cant,1
cant over,1
canter,1
cantilever,1
cantillate,1
canton,1
canulate,1
canvas,1
canvass,1
cap,1
cap off,1
capacitate,1
caparison,1
caper,1
capitalise,1
capitalize,1
capitulate,1
caponise,1
caponize,1
capriole,1
capsize,1
capsulate,1
capsule,1
capsulise,1
capsulize,1
captain,1
caption,1
captivate,1
capture,1
caracole,1
caramelise,1
caramelize,1
caravan,1
carbonate,1
carbonise,1
carbonize,1
carboxylate,1
carburet,1
carburise,1
carburize,1
card,1
care,1
care a hang,1
care for,1
careen,1
career,1
caress,1
caricature,1
carjack,1
cark,1
carmine,1
carnalise,1
carnalize,1
carnify,1
carol,1
carom,1
carouse,1
carp,1
carpenter,1
carpet,1
carpet bomb,1
carry,1
carry-the can,1
carry away,1
carry back,1
carry forward,1
carry off,1
carry on,1
carry out,1
carry over,1
carry through,1
carry to term,1
carry weight,1
cart,1
cart away,1
cart off,1
cartoon,1
cartwheel,1
carve,1
carve out,1
carve up,1
cascade,1
cascade down,1
case,1
caseate,1
cash,1
cash in,1
cash in on,1
cash in one's chips,1
cash out,1
cashier,1
casket,1
cast,1
cast about,1
cast anchor,1
cast around,1
cast aside,1
cast away,1
cast down,1
cast off,1
cast on,1
cast out,1
castigate,1
castle,1
castrate,1
cat,1
catabolise,1
catabolize,1
catalog,1
catalogue,1
catalyse,1
catalyze,1
catapult,1
catcall,1
catch,1
catch a glimpse,1
catch a wink,1
catch cold,1
catch fire,1
catch it,1
catch on,1
catch one's breath,1
catch out,1
catch sight,1
catch some z's,1
catch up,1
catch up with,1
catechise,1
catechize,1
