username,rolename
chris,Administrator
dan,Administrator
ken,Administrator
kevine,Administrator
chris,Administrator
lee,CreateClientPosts
michaelklinger,ApprovePosts
robert,CreateClientPosts
chris,Administrator
steve,Administrator
