name,feedouturl
default,category/hitorro
Intel Challenge,hcategory/intel-pca
1938 Media,category/1938-media
Vloggies,category/vloggies
Carlos Watson,category/conversations-with-carlos-watson
Intel PCA Past and Future,category/intel-pca-past-and-future
Bearing Point,category/bearingpoint
SmartEnergy,category/environment
WebEx,category/webex-conversations-with-it-business-leaders
IntelIDFCurrent,category/intel-idf-current
SNWSpotlight,category/snwspotlight
