playlist,breadcrumb
Intel Challenge,1df313d0-ad44-4742-96b4-158bdd5952be
1938 Media,05cc9e6e-c151-441a-bc77-878aebedf010
Vloggies,33a0a667-0f14-452e-ae72-0a1bbc11b221
Carlos Watson,carloswatson
Intel PCA Past and Future,IntelPCAPastFuture
Bearing Point,BearingPoint
SmartEnergy,SmartEnergy
WebEx,WebEx
IntelIDFCurrent,IntelIDFCurrent
SNWSpotlight,SNWSpotlight
